Manufacturer,Model,Sales in thousands,4-year resale value,Latest Launch,Price in thousands
Acura        ,Integra          ,16.919,16.36,02-Feb-14,21.5
Acura        ,TL               ,39.384,19.875,06-Mar-15,28.4
Acura        ,CL               ,14.114,18.225,01-Apr-14,
Acura        ,RL               ,8.588,29.725,03-Oct-15,42
Audi         ,A4               ,20.397,22.255,10-Aug-15,23.99
Audi         ,A6               ,18.78,23.555,08-Sep-15,33.95
Audi         ,A8               ,1.38,39,27-Feb-14,62
BMW          ,323i             ,19.747,,28-Jun-15,26.99
BMW          ,328i             ,9.231,28.675,29-Jan-14,33.4
BMW          ,528i             ,17.527,36.125,04-Apr-15,38.9
Buick        ,Century          ,91.561,12.475,11-Feb-15,21.975
Buick        ,Regal            ,39.35,13.74,09-Mar-15,25.3
Buick        ,Park Avenue      ,27.851,20.19,23-Mar-14,31.965
Buick        ,LeSabre          ,83.257,13.36,23-Jul-15,27.885
Cadillac     ,DeVille          ,63.729,22.525,23-Feb-14,39.895
Cadillac     ,Seville          ,15.943,27.1,29-Apr-15,44.475
Cadillac     ,Eldorado         ,6.536,25.725,27-Nov-15,39.665
Cadillac     ,Catera           ,11.185,18.225,28-Sep-15,31.01
Cadillac     ,Escalade         ,14.785,,17-Apr-14,46.225
Chevrolet    ,Cavalier         ,145.519,9.25,17-Aug-15,13.26
Chevrolet    ,Malibu           ,135.126,11.225,19-Mar-14,16.535
Chevrolet    ,Lumina           ,24.629,10.31,24-May-15,18.89
Chevrolet    ,Monte Carlo      ,42.593,11.525,22-Dec-15,19.39
Chevrolet    ,Camaro           ,26.402,13.025,23-Oct-15,24.34
Chevrolet    ,Corvette         ,17.947,36.225,05-Dec-14,45.705
Chevrolet    ,Prizm            ,32.299,9.125,09-Nov-15,13.96
Chevrolet    ,Metro            ,21.855,5.16,13-Apr-14,9.235
Chevrolet    ,Impala           ,107.995,,18-Jun-15,18.89
Chrysler     ,Sebring Coupe    ,7.854,12.36,16-Jan-14,19.84
Chrysler     ,Sebring Conv.    ,32.775,14.18,17-Nov-15,24.495
Chrysler     ,Concorde         ,31.148,13.725,06-Jun-14,22.245
Chrysler     ,Cirrus           ,32.306,12.64,10-Jun-15,16.48
Chrysler     ,LHS              ,13.462,17.325,05-Aug-14,28.34
