Team,Position,Name,Minutes played,Games played,Yellow Cards,Red Cards,Goals scored,Penalties scored,Own goals,Tackles,Shots,Assists,Passes
Athletic Club,Goalkeeper,Hodei Oleaga,0.0,0,0,0,0,0,0,0,0,0,0.0
Athletic Club,Goalkeeper,A. Remiro,0.0,0,0,0,0,0,0,0,0,0,0.0
Athletic Club,Goalkeeper,Herrerín,2.79,31,1,0,0,0,0,0,0,1,887.0
Athletic Club,Goalkeeper,Unai Simón,630.0,7,2,0,0,0,0,0,0,0,155.0
Athletic Club,Defender,Núñez,1.063,12,4,0,0,0,0,12,9,0,536.0
Athletic Club,Defender,I. Martínez,2.903,33,12,0,0,0,0,14,21,0,1.44
Athletic Club,Defender,Yeray,2.614,30,10,0,0,0,0,16,7,0,1.284
Athletic Club,Defender,San José,1.716,33,7,0,0,0,0,6,11,0,707.0
Athletic Club,Defender,Yuri B.,3.12,35,9,1,2,0,0,9,22,2,1.367
Athletic Club,Defender,I. Lekue,210.0,4,1,0,0,0,0,0,0,0,85.0
Athletic Club,Defender,Balenziaga,520.0,11,0,0,0,0,0,2,0,0,177.0
Athletic Club,Midfielder,Nolaskoain,465.0,8,2,1,2,0,0,6,4,0,276.0
Athletic Club,Midfielder,Beñat,2.045,27,8,0,1,0,0,1,13,2,1.166
Athletic Club,Midfielder,Iturraspe,97.0,3,1,0,0,0,0,0,0,0,80.0
Athletic Club,Midfielder,Córdoba,1.3219999999999998,23,4,0,0,0,0,0,16,5,406.0
Athletic Club,Midfielder,Susaeta,1.38,22,2,1,1,0,0,1,11,2,524.0
Athletic Club,Midfielder,Dani García,2.482,29,13,0,0,0,0,8,1,0,1.396
Athletic Club,Midfielder,Mikel Rico,243.0,4,0,0,0,0,0,2,3,0,94.0
Athletic Club,Midfielder,De Marcos,2.426,30,4,2,1,0,0,4,7,2,1.028
Athletic Club,Midfielder,Ibai,2.033,32,0,0,3,0,0,1,35,4,717.0
Athletic Club,Midfielder,Capa,1.6369999999999998,25,9,0,0,0,0,2,7,0,686.0
Athletic Club,Midfielder,Raúl García,2.379,33,13,0,9,2,0,1,63,3,892.0
Athletic Club,Midfielder,Unai López,325.0,7,1,0,0,0,0,3,3,0,242.0
Athletic Club,Midfielder,Iñigo Vicente,0.0,0,0,0,0,0,0,0,0,0,0.0
Athletic Club,Forward,Gorka Guruzeta,45.0,6,0,0,0,0,0,0,1,0,9.0
Athletic Club,Forward,Kenan Kodro,151.0,11,0,0,1,0,0,0,3,0,46.0
Athletic Club,Forward,Williams,3.036,38,3,0,13,0,0,1,56,4,686.0
Athletic Club,Forward,Muniain ,2.385,34,7,0,7,1,0,3,20,4,1.187
Athletic Club,Forward,Aduriz,941.0,20,4,0,2,2,0,1,19,0,230.0
Atlético de Madrid,Goalkeeper,Alex Dos Santos,0.0,0,0,0,0,0,0,0,0,0,0.0
Atlético de Madrid,Goalkeeper,Adán,90.0,1,1,0,0,0,0,0,0,0,22.0
Atlético de Madrid,Goalkeeper,Oblak ,3.33,37,0,0,0,0,0,0,0,0,759.0
Atlético de Madrid,Defender,Godín,2.507,30,7,0,3,0,1,9,14,1,1.047
Atlético de Madrid,Defender,Filipe Luis,2.037,27,4,0,2,0,0,3,10,2,1.287
Atlético de Madrid,Defender,Arias,1.77,25,4,0,1,0,0,2,7,1,790.0
Atlético de Madrid,Defender,Savić,1.399,18,3,1,0,0,0,9,5,2,544.0
Atlético de Madrid,Defender,Nehuen Pérez,0.0,0,0,0,0,0,0,0,0,0,0.0
Atlético de Madrid,Defender,Juanfran,1.609,22,7,0,0,0,0,5,0,2,770.0
Atlético de Madrid,Defender,L. Hernández,1.118,14,5,0,1,0,0,9,4,0,509.0
